DAYA,PEMKWH,JAMNYALA,KECAMATAN
450.0,66.0,147.0,Cikole
3.9,132.0,34.0,Cikole
1.3,17.0,13.0,Cikole
900.0,13.0,14.0,Cikole
16.5,1.46,89.0,Cikole
13.2,1.483,112.0,Cikole
450.0,28.0,62.0,Cikole
6.6,52.0,8.0,Cikole
53.0,2.647,50.0,Cikole
900.0,70.0,78.0,Cikole
900.0,50.0,56.0,Cikole
16.5,1.042,63.0,Cikole
450.0,20.0,44.0,Cikole
2.2,105.0,48.0,Cikole
2.2,51.0,23.0,Cikole
5.5,1.599,291.0,Cikole
900.0,10.0,11.0,Cikole
2.2,385.0,175.0,Cikole
2.2,57.0,26.0,Cikole
900.0,160.0,178.0,Cikole
1.3,155.0,119.0,Cikole
1.3,207.0,159.0,Cibeureum
10.6,1.169,110.0,Cibeureum
900.0,251.0,279.0,Cibeureum
10.6,2.368,223.0,Cibeureum
6.6,104.0,16.0,Cibeureum
6.6,899.0,136.0,Cibeureum
4.4,240.0,55.0,Cibeureum
4.4,253.0,58.0,Cibeureum
1.3,20.0,15.0,Cibeureum
13.2,1.531,116.0,Cibeureum
41.5,6.787,164.0,Cibeureum
10.6,1.387,131.0,Cibeureum
2.2,719.0,327.0,Cibeureum
6.6,175.0,27.0,Cibeureum
10.6,533.0,50.0,Cibeureum
3.5,307.0,88.0,Cibeureum
900.0,77.0,86.0,Cibeureum
2.2,99.787,45358.0,Cibeureum
4.4,616.0,140.0,Cibeureum
23.0,2.733,119.0,Cibeureum
450.0,162.0,360.0,Citamiang
2.2,150.0,68.0,Citamiang
450.0,5.0,11.0,Citamiang
900.0,189.0,210.0,Citamiang
450.0,120.0,267.0,Citamiang
450.0,154.0,342.0,Citamiang
450.0,13.0,29.0,Citamiang
900.0,74.0,82.0,Citamiang
900.0,53.0,59.0,Citamiang
450.0,125.0,278.0,Citamiang
900.0,132.0,147.0,Citamiang
900.0,158.0,176.0,Citamiang
900.0,96.0,107.0,Citamiang
900.0,309.0,343.0,Citamiang
900.0,225.0,250.0,Citamiang
900.0,103.0,114.0,Citamiang
3.5,1.414,404.0,Citamiang
900.0,93.0,103.0,Citamiang
900.0,58.0,64.0,Citamiang
900.0,64.0,71.0,Citamiang
900.0,27.0,30.0,Citamiang
900.0,158.0,176.0,Citamiang
900.0,84.0,93.0,Citamiang
900.0,78.0,87.0,Citamiang
900.0,94.0,104.0,Citamiang
900.0,148.0,164.0,Citamiang
450.0,94.0,209.0,Citamiang
900.0,106.0,118.0,Citamiang
900.0,5.0,6.0,Citamiang
900.0,94.0,104.0,Citamiang
450.0,71.0,158.0,Citamiang
900.0,40.0,44.0,Citamiang
900.0,109.0,121.0,Citamiang
900.0,36.0,40.0,Citamiang
900.0,92.0,102.0,Citamiang
3.5,222.0,63.0,Citamiang
900.0,305.0,339.0,Citamiang
900.0,46.0,51.0,Citamiang
900.0,161.0,179.0,Citamiang
450.0,87.0,193.0,Citamiang
450.0,89.0,198.0,Citamiang
900.0,15.0,17.0,Citamiang
450.0,81.0,180.0,Citamiang
900.0,77.0,86.0,Citamiang
450.0,40.0,89.0,Citamiang
900.0,174.0,193.0,Citamiang
900.0,3.0,3.0,Citamiang
900.0,128.0,142.0,Citamiang
900.0,163.0,181.0,Citamiang
450.0,53.0,118.0,Citamiang
900.0,81.0,90.0,Citamiang
900.0,85.0,94.0,Citamiang
900.0,95.0,106.0,Citamiang
450.0,69.0,153.0,Citamiang
900.0,91.0,101.0,Citamiang
900.0,80.0,89.0,Citamiang
450.0,83.0,184.0,Citamiang
900.0,132.0,147.0,Citamiang
900.0,1.0,1.0,Citamiang
900.0,63.0,70.0,Citamiang
900.0,35.0,39.0,Citamiang
900.0,274.0,304.0,Citamiang
900.0,104.0,116.0,Citamiang
900.0,204.0,227.0,Citamiang
900.0,180.0,200.0,Citamiang
900.0,44.0,49.0,Citamiang
450.0,58.0,129.0,Citamiang
900.0,80.0,89.0,Citamiang
900.0,8.0,9.0,Citamiang
900.0,92.0,102.0,Citamiang
900.0,88.0,98.0,Citamiang
900.0,106.0,118.0,Citamiang
450.0,51.0,113.0,Citamiang
450.0,149.0,331.0,Citamiang
450.0,153.0,340.0,Citamiang
900.0,200.0,222.0,Citamiang
900.0,132.0,147.0,Citamiang
900.0,200.0,222.0,Citamiang
900.0,73.0,81.0,Citamiang
900.0,115.0,128.0,Citamiang
450.0,82.0,182.0,Citamiang
900.0,47.0,52.0,Citamiang
1.3,63.0,48.0,Citamiang
450.0,62.0,138.0,Citamiang
450.0,60.0,133.0,Citamiang
1.3,254.0,195.0,Citamiang
